order_item_count,rant_delta,embedding_rant_O2P_2,o2a_zoneid_last15mins_averages,ar2p_avg_res_20d,rest_placed_order_count__1h,embedding_hour_LM_0,embedding_Rz_LM_13,avg_item,embedding_week_O2P_0,embedding_city_LM_2,embedding_hour_LM_3,items_past,high_item,o2mf_value_res_lag1,embedding_hour_O2P_3,fm_avg_Rh_dow_hour_7D,embedding_Rz_LM_0,embedding_Rz_LM_21,fm_avg_Rz_3H,o2p_value_res_lag1,p2d_avg_Cz_1H,embedding_city_LM_3,embedding_rant_O2P_0,o2as_avg_Rz_7D,rant_active_orders,embedding_rant_O2P_4,cust_zone_rain_mode__2H,embedding_hour_LM_2,embedding_Rz_LM_23,p2d_sd_Ch_20D,embedding_city_O2P_4,item_lag_delta_I,embedding_hour_LM_4,embedding_Rz_LM_6,p2d_avg_Ch_20D,embedding_rant_O2P_8,embedding_Rz_LM_4,embedding_Rz_LM_18,bill_amount,p2d_avg_Rz_3D,embedding_week_O2P_2,lag_delta_II,weekday,o2as_avg_Rh_7D,banner_factor,embedding_hour_O2P_4,hour,embedding_dayofweek_LM_2,o2as_avg_Rz_dow_30D,embedding_city_O2P_1,pop_request,o2as_avg_Rh_dow_7D,embedding_Rz_LM_24,o2as_avg_Rid_hour_dow_30d,embedding_Rz_LM_1,embedding_Rz_LM_20,embedding_Rz_LM_15,rant_banner_factor,embedding_hour_O2P_0,embedding_city_O2P_0,o2as_avg_Rz_hour_dow_9d,embedding_hour_LM_1,item_slot_o2p_avg_1D,item_o2p_avg,embedding_city_O2P_3,dayofweek,fm_avg_Rz_dow_hour_7D,item_slot_o2p_avg,embedding_Rz_LM_19,o2as_avg_Rid_dow_hour_7D,o2as_avg_Rid_hour_3D,o2as_avg_Rz_hour_dow_lag,embedding_dayofweek_LM_0,embedding_Rz_LM_12,rare_item,embedding_Rz_LM_2,fm_avg_Rz_3D,fm_avg_Rz_1H,embedding_Rz_LM_10,embedding_Rz_LM_17,embedding_hour_O2P_2,embedding_Rz_LM_5,p2d_avg_Rid_20D,embedding_rant_O2P_6,r2d_avg_Cg_7D,embedding_dayofweek_LM_1,embedding_city_LM_1,order_total_quantity,embedding_Rz_LM_16,o2as_avg_Rz_hour_dow_30d,embedding_rant_O2P_5,rant_cst_distance,embedding_Rz_LM_9,embedding_hour_O2P_1,embedding_city_LM_4,o2a_zoneid_last5mins_averages,rest_zone_rain_mode__2H,embedding_Rz_LM_3,o2as_avg_res_1h,embedding_rant_O2P_9,fm_avg_Rid_hour_30D,fm_avg_Rz_dow_hour_30D,p2d_avg_Rid_3D,embedding_city_O2P_2,ar2p_avg_res_1h,fm_avg_Rh_1D,p2d_avg_Rz_1H,embedding_Rz_LM_8,embedding_Rz_LM_22,embedding_rant_O2P_3,embedding_Rz_LM_14,embedding_rant_O2P_7,o2mf_avg_1H,fm_avg_Rh_hour_3D,ar2p_avg_res_hour_20d,fm_avg_Rid_1Day,item_o2p_lag,embedding_Rz_LM_11,fm_avg_Rz_1D,embedding_rant_O2P_1,p2d_avg_Rid_1H,p2d_avg_Cz_3D,lag_delta_I,embedding_city_LM_0,embedding_week_O2P_1,embedding_Rz_LM_7,o2p_avg_1H,O2D,O2D_beef,Ar2P,O2As,FM,O2P,P2D,order_id
2,15.615,0.48325935,3.27,13.57367089,2,-0.0895931,-2.0077975,0,-0.00971841,-1.8434029,-0.033549994,0,1,11,0.8565231,3.631666667,2.1801217,-0.102330804,3.724781022,30.13,10,1.238292,-0.4797952,5.784648694,2,1.2988133,0,1.6321226,0.6644094,3,2.980355,3.836666667,0.41659462,-0.49272236,10,1.4133593,-0.91038215,-0.44025916,600,10,-0.749918,7.300647059,3,4.744072948,0.660000026,0.050397918,0,0.031381562,5.024184342,-0.18441863,0,5.672560976,-0.11695757,1.67,0.21852362,0.36072415,0.13200217,2,0.2497975,0.8887278,3.36442623,1.6786891,21.37,26.03333333,0.004375648,3,2.74893617,27.838,0.9403476,2.09,1.0825,3.374664537,0.44821078,0.596585,0,-1.2370138,4.417615911,3.261767956,0.124267586,0.09695236,-0.014243659,-0.51881003,10,2.2516928,0,0.018522512,-0.08941259,2,0.6760003,3.155309735,-1.8099185,4.900000095,-1.5846431,-0.13629468,-1.7801869,3.64952381,0,1.7307822,1.29,-1.4738188,5.816111111,3.681829485,10,-0.6093302,19.315,4.732135922,10,1.8425528,0.6352108,0.7885896,-1.0680722,-1.0421771,18.375,5.673636364,14.65722222,4.667647059,29.87,0.6009504,4.033275731,0.5738146,10,10,5.815647059,-0.105638474,0.009655832,0.34431964,31.615,42.78,47.78,15.37,1.37,6.2,23.03,19.75,6.22E+10
2,9.40625,-1.899524,3.343333333,6.633048961,10,-0.014344176,0.02072935,0,-0.00971841,-1.8434029,0.032311823,1,1,17.32,-0.14038363,5.089333333,1.7258221,0.22564557,4.961363636,40.05,13,1.238292,-4.597986,6.725880035,4,-0.045039825,0,3.2234528,1.4838587,6.692854723,2.980355,3.359186352,0.9861459,0.57266116,12.78741758,-1.8541296,0.51474404,0.1776235,100,13,-0.749918,4.71003497,3,9.543291416,0.379999995,0.063228376,7,0.031381562,5.558226278,-0.18441863,0,8.829126984,0.5091749,7.274871795,0.21415587,-0.36062238,-0.4296958,1.428571429,-0.37758604,0.8887278,3.333382353,3.292421,23.97714286,19.52081365,0.004375648,3,4.501875,19.52081365,0.63379383,5.735,6.133863636,3.663125,0.44821078,-1.1337361,0,0.24034637,5.481721628,5.188,-0.44985712,-0.7356593,-0.032235216,-1.0424087,13,-0.734925,2.960694444,0.018522512,-0.08941259,2,1.6252596,3.797295918,0.15048029,2.099999905,1.0286306,-0.63476855,-1.7801869,1.365,0,0.4487227,7.506666667,1.3267007,2.57936,5.232642487,10,-0.6093302,7.963333333,5.296666667,12,-0.40946054,-0.32150534,0.6079322,0.17992781,1.8658698,19.6375,3.752093023,8.808467433,5.296666667,22.88,-1.545613,4.68289547,0.12136153,12,13,19.35378497,-0.105638474,0.009655832,-0.14578378,25.40625,17.6,22.6,1.38,9.48,0.05,11.18,6.42,6.22E+10
1,-7.736666667,-3.8656878,2.476666667,4.171992551,4,-0.33693808,-0.068083706,0,-0.00971841,-0.35218656,0.05713251,1,1,2.17,0.8913614,0.82,-0.582095381,-0.070216683,3.582142857,5.12,20,0.25432274,2.750514,3.761568219,1,1.905209,0,-0.24399735,1.055563691,3,3.450577,-0.889663462,0.756848,-0.043485297,8.82,-2.4539368,1.303407944,-2.134133303,119,16,-0.749918,-6.213978495,3,3.04688172,0.300000012,-0.85895646,11,0.031381562,3.534876442,-0.85002023,0,2.727948718,0.164251606,2.0525,-0.671857357,-0.082536324,-1.706442818,1,-1.2228198,1.1663076,2.609393939,-0.7680598,13.2575,13.75966346,0.11924377,3,4.3628,12.4585,0.043361932,1.4,1.916,3.034153846,0.44821078,0.12727783,0,-1.187802721,5.740268033,3.444736842,-0.034923247,-0.097539793,-0.68619955,-0.276969644,19,-2.6394799,0,0.018522512,-0.07795428,7,-0.448981981,3.079457364,-0.32630545,1.200000048,-0.580751014,0.44295803,-0.42815414,3,0,0.256385566,1.813333333,1.6908597,5.184210526,4.237054264,18,-0.099870175,4.486666667,6.393703704,16,-2.089900884,-0.2419157,2.6943922,-2.205891634,-2.5072691,5.156666667,8.446,3.216206897,6.393703704,12.87,0.054199796,6.038544233,-1.9573274,19,14,-9.357311828,-0.5855699,0.009655832,-1.611197921,8.263333333,13.23,18.23,1.78,2.38,2.5,7.03,6.2,6.22E+10
1,-1.551111111,-1.1576208,3.333378378,6.04334788,14,0.38224754,0.13133267,0,-0.00971841,-0.12117595,-0.3944569,0,1,11.12,0.13784437,5.074545455,0.986972,-0.07857467,6.312234043,13.28,15,-0.9066761,-4.891979,4.037395436,2,-0.97667694,1,-0.33056316,0.7226384,6.999169106,1.6411175,-0.451363636,0.41718915,0.2859595,17.65426829,-3.707861,-0.099271335,0.28970993,99,15,-0.749918,-8.067872677,3,7.465420394,0.899999976,-0.90775514,13,0.031381562,4.657273005,-0.5009431,0,8.473235294,0.45687014,7.316,0.22701156,0.14196481,-0.30453813,1.076923077,0.5410148,1.2674906,3.407267905,0.4480793,16,23.63136364,-0.9643637,3,5.712053232,22.48923077,-0.04302252,5.122727273,5.280606061,3.078933092,0.44821078,-0.5908178,0,-0.21262491,6.21141974,6.186962457,-0.3816893,0.46436805,0.22418433,-0.30839667,16,-1.5252838,4.175,0.018522512,-0.44112667,1,1.1530371,4.722090535,2.6743112,4.699999809,1.6088692,-0.042119667,-0.10056808,3.042,0,0.28095397,6.038888889,2.206843,5.366,6.450304276,15,-1.2154942,3.987777778,7.028674699,15,0.37615663,-0.51697063,-1.4104813,0.42159504,2.3802097,13.32333333,5.426060606,7.417651822,7.028674699,23.18,-0.7348872,6.185655552,-0.31983438,16,15,-9.236761566,0.018520065,0.009655832,-0.76747054,14.44888889,34.43,39.43,1.45,7.45,5.23,14.38,20.05,6.22E+10
1,3.85,4.0275993,3.158461538,4.758894908,2,0.026307518,-2.0854814,0,-0.00971841,-0.6856983,0.00485885,1,1,22.1,0.12044231,4.226,2.2592733,-1.2290347,6.568588957,22.23,13,0.02299035,5.644565,3.746477779,1,5.4897265,0,0.015335939,0.97132075,5.784722802,1.6907839,9.175174419,0.4028865,-0.42682266,12.86313846,4.837265,-0.95323235,-0.3407553,158,15,-0.749918,6.369331307,3,3.808860076,0.699999988,0.019734802,14,0.031381562,3.22233841,-0.08184147,0,3.667008197,-0.6513875,3.2075,0.17240265,0.52644193,-0.6502411,1,0.02266033,1.6915462,3.007315436,-0.22193787,16.85,13.05482558,-1.6878899,3,4.258111111,12.67756757,-0.4074167,5.165,3.16375,3.346282051,0.44821078,0.100175336,0,-1.3473738,5.32382104,6.095229358,-0.1545446,0.30465528,-0.009572404,-0.14808051,16,-5.2870445,1.912537313,0.018522512,-0.5031784,2,1.7748516,2.78112,-5.416109,5.599999905,-1.148968,-0.049101025,-0.1717782,2.108333333,0,1.2358215,6.33,1.1324143,3.914428571,4.538116232,7,-1.5015364,7.79,6.112970711,16,2.247647,0.46330523,2.4235404,0.38321972,2.8990808,19.69,4.341666667,5.80625,6.587,22.23,0.48522428,5.785778807,1.995726,17,13,8.749331307,-0.040835973,0.009655832,0.07979693,19.85,45.75,50.75,12.08,0.8,0.07,14.93,30.82,6.22E+10
2,5.834285714,-0.47410467,4.534833333,4.418008903,10,0.01863481,1.4706149,0,-0.00971841,-0.9026805,-0.029262546,0.5,1,11,-0.11150846,4.266666667,0.98558533,0.16136542,3.586427432,24.12,13,0.30816382,-6.26478,4.92895691,4,1.6368873,0,0.0220281,2.1905906,6.297495333,1.4321104,-6.126691729,-1.4856908,-0.00322514,12.48987469,-1.0794652,0.66333735,-0.79976094,210,13,-0.749918,3.719163479,3,6.723257576,0.330000013,-0.6305358,18,0.031381562,4.256530678,1.2622452,0,6.064354839,0.8495871,5.588095238,-0.9646468,0.07152206,0.26626277,1.428571429,-0.07777854,-0.23326707,4.09562724,-0.002544402,13.56666667,19.82669173,0.37149206,3,4.001734317,19.67872549,0.048919175,3.676666667,7.366,4.981483516,0.44821078,0.40958792,0,0.9616855,3.910663487,3.100348259,0.8291447,-0.7803512,1.3214537,-0.31429085,12,1.3558407,2.141450382,0.018522512,0.048484903,2,-0.31070104,4.342581852,-1.3108765,0.899999976,-0.56060886,0.083134264,-0.5955599,2.9215,0,-0.9825852,7.997142857,1.6924509,6.437894737,3.794039363,14,-1.9000053,10.08428571,4.129005236,13,-0.39791536,-0.21135835,-0.84812033,-1.0796678,0.13485922,14.67714286,3.9048,3.8315,4.626890756,13.7,-0.566902,3.961809851,-1.779336,12,13,6.004877765,0.007992339,0.009655832,-1.4976287,21.83428571,19.43,24.43,8.92,2.88,4.32,16.25,3.18,6.23E+10
2,0,-1.3324714,4.086306306,6.928096828,0,-0.046080492,1.4706149,0,-0.00971841,-0.9026805,0.0376217,0,1,22.15,0.7159881,3.344375,0.98558533,0.16136542,3.846972222,23.1,13,0.30816382,-2.2928016,4.930680139,0,-0.8627587,0,-0.07888457,2.1905906,6.464489513,1.4321104,4.232162162,-0.7303692,-0.00322514,15.35509506,2.0439186,0.66333735,-0.79976094,531,13,-0.749918,-2.228115183,3,9.397079208,0.910000026,-0.7646233,19,0.031381562,4.258204895,1.2622452,0,8.564125683,0.8495871,9.13375,-0.9646468,0.07152206,0.26626277,0,-1.1715345,-0.23326707,4.679643917,-0.001952874,19.02,22.56783784,0.37149206,3,3.616604824,22.59823529,0.048919175,7.48,15.53,8.695059688,0.44821078,0.40958792,0,0.9616855,3.918960738,4.265394322,0.8291447,-0.7803512,-0.72527164,-0.31429085,13,1.5570844,3.375310734,0.018522512,0.048484903,3,-0.31070104,4.558379247,-0.35727417,5.5,-0.56060886,1.3056661,-0.5955599,3.478297872,0,-0.9825852,6.5,1.8775767,2.615742574,3.565027599,10,-1.9000053,5.5,3.824203297,15,-0.39791536,-0.21135835,0.5536619,-1.0796678,0.5755443,11,3.798646617,6.924923077,3.219090909,26.8,-0.566902,4.004796545,-0.50217986,13,13,4.871884817,0.007992339,0.009655832,-1.4976287,16,48.5,53.5,11.55,13.83,0.07,25.75,22.75,6.23E+10
2,0,-0.9119063,4.664117647,7.599381974,3,-0.046080492,-0.068083706,0,-0.00971841,-0.35218656,0.0376217,0,1,4.38,0.7159881,3.14,-0.582095381,-0.070216683,6.572932331,7.45,14,0.25432274,-4.2839894,4.446578913,3,-1.1920892,0,-0.07888457,1.055563691,7.715664728,3.450577,5.138032787,-0.7303692,-0.043485297,13.20431925,-1.6315931,1.303407944,-2.134133303,180,14,-0.749918,-4.047559682,3,2.970177815,0.829999983,-0.7646233,19,0.031381562,3.961193683,-0.85002023,0,2.624537815,0.164251606,1.751428571,-0.671857357,-0.082536324,-1.706442818,3,-1.1715345,1.1663076,3.795357143,-0.001952874,33.62,19.76196721,0.11924377,3,5.480465116,21.3683871,0.043361932,6.5,1.799166667,3.560659341,0.44821078,0.12727783,0,-1.187802721,5.201091043,4.863448276,-0.034923247,-0.097539793,-0.72527164,-0.276969644,19,-2.0543482,2.655522388,0.018522512,-0.07795428,3,-0.448981981,3.697046632,2.7722964,3.099999905,-0.580751014,1.3056661,-0.42815414,3.62,0,0.256385566,6.5,2.1550052,7.879928571,5.532098446,10,-0.099870175,5.5,6.996296296,15,-2.089900884,-0.2419157,-1.2389783,-2.205891634,1.7846675,11,7.452758621,8.486938776,7.464888889,24.9,0.054199796,5.609393283,-0.09814495,18,14,-12.59755968,-0.5855699,0.009655832,-1.611197921,16,24.12,29.12,2.47,2.47,3.63,9.22,14.9,6.23E+10
1,-8.05,-5.7114577,4.856612903,5.02967118,7,0.052714653,-0.068083706,0,-0.00971841,-0.12117595,0.16447444,0,1,8.2,-0.124132715,5.393666667,-0.582095381,-0.070216683,6.963098592,8.45,16,-0.9066761,5.942872,4.021119828,5,5.661151,0,-0.0308711,1.055563691,4.914627873,1.6411175,-1.408571429,0.5343077,-0.043485297,12.41868132,0.9741632,1.303407944,-2.134133303,140,15,-0.749918,-6.036810811,3,4.341289683,1.059999943,0.027929857,20,0.031381562,3.91444069,-0.5009431,1,4.874711538,0.164251606,3.889230769,-0.671857357,-0.082536324,-1.706442818,2.333333333,-0.03763987,1.2674906,6.853669872,-0.55705184,16,11.42857143,-0.9643637,3,7.387803347,9.42,0.043361932,1.27,2.806,7.527099237,0.44821078,0.12727783,0,-1.187802721,6.209297508,6.601464088,-0.034923247,-0.097539793,-0.8063787,-0.276969644,13,-4.823903,1.361428571,0.018522512,-0.44112667,1,-0.448981981,6.503593583,-6.339968,1.149999976,-0.580751014,-0.006434504,-0.10056808,6.718064516,0,0.256385566,0.885,4.175423,5.025540541,6.940874933,13,-1.2154942,3.66,5.332744186,15,-2.089900884,-0.2419157,5.7090917,-2.205891634,-2.1418667,7.485,5.517272727,4.694390244,4.18,10.02,0.054199796,6.268550287,0.63942903,14,15,-5.536810811,0.018520065,0.009655832,-1.611197921,7.95,23.03,28.03,6.87,0.58,7.48,15.4,7.63,6.23E+10
2,0.921428571,2.7521682,6.915531915,5.391666667,30,-0.08330583,-2.952088,0,-0.00971841,-0.6993332,-0.016860625,1,1,11,-0.11196165,6.064,3.8879113,0.225013,4.554038462,19,14,-0.029506538,5.220404,5.019943002,9,5.637686,0,0.25048718,1.4184833,8.49874717,1.4710165,7.532631579,0.24003738,1.3086973,19.68605839,3.7269154,-2.39693,-1.8095621,212,14,-0.749918,1.689519481,3,4.372485137,1.080000043,-0.20622309,21,0.031381562,3.860500483,-0.33230752,0,2.927916667,-0.14265046,2.428947368,0.5272543,-1.0515745,0.48808542,1.363636364,0.010184866,0.09411305,4.16592,0.24617158,17.276,16.58736842,-0.048614204,3,4.16233871,17.11648649,0.688701,1.7625,5.430625,3.089955357,0.44821078,0.70062256,0,-2.1645951,4.258424926,4.50375,0.08494396,-0.015062559,-0.33436885,-0.8286018,15,-4.644118,1.986585366,0.018522512,-0.068713166,3,0.39559337,4.280481283,-5.534835,5.300000191,-3.2832108,0.022820108,-0.45997655,10.984,0,2.7118063,2.395238095,2.2749834,4.974585366,4.575561497,16,-0.5376492,9.906190476,4.092389381,15,2.9603975,-0.6140013,3.0825713,-0.23757035,2.4306803,12.51285714,4.986756757,5.904609929,4.149148936,24.12,1.5339401,3.939560117,2.1256533,15,15,3.768090909,0.050475605,0.009655832,0.61552954,16.92142857,32.62,37.62,5.18,2.95,5.03,13.65,18.97,6.23E+10
